room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
15535012,1360,9964233,Entire home/apt,,Frankfurt,,Bockenheim,3,5.0,2,1.0,,184.0,,2017-06-22 15:32:18.733773,50.11085,8.63296,0101000020E6100000325A4755134421407C613255300E4940
8892862,1360,21913757,Entire home/apt,,Frankfurt,,Gallus,0,0.0,4,1.0,,160.0,,2017-06-22 15:32:18.728879,50.106546,8.648188,0101000020E6100000BD512B4CDF4B214083C2A04CA30D4940
1527485,1360,254691,Entire home/apt,,Frankfurt,,Bockenheim,65,5.0,3,2.0,,152.0,,2017-06-22 15:32:16.517986,50.115963,8.643731,0101000020E6100000BFD7101C97492140E54526E0D70E4940
13420957,1360,40352034,Entire home/apt,,Frankfurt,,Sachsenhausen-N.,7,5.0,6,2.0,,172.0,,2017-06-22 15:32:16.509731,50.106358,8.69529,0101000020E6100000C078060DFD63214080D591239D0D4940
8546034,1360,10197091,Entire home/apt,,Frankfurt,,Westend-Süd,5,0.0,4,1.0,,149.0,,2017-06-22 15:32:16.498510,50.114633,8.666069,0101000020E610000044C2F7FE065521406C054D4BAC0E4940
171030,1360,815682,Entire home/apt,,Frankfurt,,Bockenheim,34,5.0,4,1.0,,158.0,,2017-06-22 15:32:14.075670,50.124962,8.636722,0101000020E610000095490D6D00462140129F3BC1FE0F4940
16364811,1360,20811521,Entire home/apt,,Frankfurt,,Kalbach-Riedberg,0,0.0,5,2.0,,144.0,,2017-06-22 15:32:10.155399,50.183673,8.621058,0101000020E61000009DD66D50FB3D21404014CC9882174940
2170769,1360,7618243,Entire home/apt,,Frankfurt,,Nied,19,5.0,2,0.0,,132.0,,2017-06-22 15:32:06.444613,50.098969,8.568429,0101000020E61000002B323A2009232140AE282504AB0C4940
17411986,1360,14219832,Entire home/apt,,Frankfurt,,Sachsenhausen-N.,0,0.0,3,1.0,,139.0,,2017-06-22 15:32:06.437385,50.096897,8.670626,0101000020E6100000D1B1834A5C5721404E0AF31E670C4940
8264715,1360,6424774,Entire home/apt,,Frankfurt,,Ostend,4,5.0,4,1.0,,143.0,,2017-06-22 15:32:06.417437,50.119084,8.697827,0101000020E610000016889E94496521400ABDFE243E0F4940
18585276,1360,20684448,Entire home/apt,,Frankfurt,,Gallus,1,0.0,2,1.0,,127.0,,2017-06-22 15:32:04.696167,50.104644,8.623262,0101000020E6100000DAAD65321C3F21407FDC7EF9640D4940
2629480,1360,13469656,Entire home/apt,,Frankfurt,,Sachsenhausen-N.,12,5.0,2,1.0,,137.0,,2017-06-22 15:32:04.689928,50.106278,8.684523,0101000020E610000039B874CC795E214064247B849A0D4940
8675485,1360,45423097,Entire home/apt,,Frankfurt,,Nieder-Eschbach,0,0.0,2,0.0,,114.0,,2017-06-22 15:32:01.529375,50.20608,8.667664,0101000020E6100000DF6E490ED85521400A2E56D4601A4940
11668361,1360,61945229,Entire home/apt,,Frankfurt,,Bahnhofsviertel,4,3.5,2,1.0,,104.0,,2017-06-22 15:31:59.351972,50.109901,8.666296,0101000020E610000047E9D2BF245521401B66683C110E4940
8167497,1360,43106254,Entire home/apt,,Frankfurt,,Ginnheim,0,0.0,2,1.0,,115.0,,2017-06-22 15:31:59.334645,50.140797,8.658639,0101000020E610000084BD892139512140FD2FD7A205124940
5566487,1360,22521378,Entire home/apt,,Frankfurt,,Bornheim,7,5.0,2,1.0,,109.0,,2017-06-22 15:31:56.852226,50.127458,8.712892,0101000020E6100000FA28232E006D214089CE328B50104940
6421108,1360,2003125,Entire home/apt,,Frankfurt,,Nordend-Ost,0,0.0,2,1.0,,115.0,,2017-06-22 15:31:54.469755,50.123156,8.691761,0101000020E6100000E84B6F7F2E62214031276893C30F4940
8381975,1360,29087236,Entire home/apt,,Frankfurt,,Bornheim,0,0.0,3,2.0,,114.0,,2017-06-22 15:31:54.465306,50.125678,8.708315,0101000020E610000051888043A86A2140D1E9793716104940
17733734,1360,120903004,Entire home/apt,,Frankfurt,,Gutleutviertel,0,0.0,5,2.0,,107.0,,2017-06-22 15:31:54.458584,50.101895,8.660138,0101000020E610000096B1A19BFD5121401E5036E50A0D4940
4231608,1360,10288175,Entire home/apt,,Frankfurt,,Gutleutviertel,89,4.5,4,3.0,,114.0,,2017-06-22 15:31:52.547673,50.102065,8.662756,0101000020E61000009F7422C1545321407B884677100D4940
11831679,1360,63037476,Entire home/apt,,Frankfurt,,Ostend,2,0.0,2,1.0,,114.0,,2017-06-22 15:31:48.326110,50.12344,8.704104,0101000020E61000002FF7C951806821405682C5E1CC0F4940
15013136,1360,94741006,Entire home/apt,,Frankfurt,,Frankfurter Berg,4,5.0,6,3.0,,109.0,,2017-06-22 15:31:48.319041,50.166885,8.671383,0101000020E6100000452E3883BF572140B398D87C5C154940
18173992,1360,91435690,Entire home/apt,,Frankfurt,,Nordend-West,0,0.0,2,0.0,,113.0,,2017-06-22 15:31:45.737673,50.12238,8.690001,0101000020E6100000236AA2CF476121409DD7D825AA0F4940
15091079,1360,1203217,Entire home/apt,,Frankfurt,,Nordend-West,9,5.0,4,2.0,,121.0,,2017-06-22 15:31:45.734737,50.127534,8.691857,0101000020E61000007104A9143B6221406490BB0853104940
13668028,1360,79481378,Entire home/apt,,Frankfurt,,Gutleutviertel,0,0.0,2,1.0,,114.0,,2017-06-22 15:31:45.707354,50.101953,8.656233,0101000020E6100000A81C93C5FD4F2140535DC0CB0C0D4940
6860536,1360,35951071,Entire home/apt,,Frankfurt,,Nordend-West,1,0.0,2,1.0,,115.0,,2017-06-22 15:31:45.703005,50.131874,8.68904,0101000020E61000008D45D3D9C9602140AB984A3FE1104940
12266186,1360,43204599,Entire home/apt,,Frankfurt,,Bockenheim,29,5.0,2,1.0,,115.0,,2017-06-22 15:31:45.683746,50.116545,8.647199,0101000020E61000000002D6AA5D4B214094C151F2EA0E4940
956686,1360,5200468,Entire home/apt,,Frankfurt,,Ostend,0,0.0,2,1.0,,92.0,,2017-06-22 15:31:41.249232,50.118981,8.708154,0101000020E61000002C103D29936A214035ECF7C43A0F4940
484901,1360,721336,Entire home/apt,,Frankfurt,,Griesheim,0,0.0,4,1.0,,98.0,,2017-06-22 15:31:41.236827,50.091078,8.602818,0101000020E610000058E1968FA43421404BB1A371A80B4940
9220957,1360,9342991,Entire home/apt,,Frankfurt,,Sachsenhausen-N.,0,0.0,2,2.0,,92.0,,2017-06-22 15:31:39.054063,50.101841,8.677908,0101000020E6100000BF64E3C1165B21402B323A20090D4940
4963339,1360,1861155,Entire home/apt,,Frankfurt,,Westend-Süd,13,4.5,4,3.0,,91.0,,2017-06-22 15:31:39.044269,50.116204,8.657335,0101000020E610000046088F368E5021400BD5CDC5DF0E4940
5406919,1360,26546923,Entire home/apt,,Frankfurt,,Gutleutviertel,27,4.0,3,3.0,,87.0,,2017-06-22 15:31:39.041599,50.101554,8.656088,0101000020E61000009A982EC4EA4F21409563B2B8FF0C4940
2154696,1360,10995749,Entire home/apt,,Frankfurt,,Innenstadt,2,0.0,2,1.0,,98.0,,2017-06-22 15:31:39.038745,50.118263,8.680847,0101000020E6100000D0285DFA975C2140D6A9F23D230F4940
11748216,1360,62507234,Entire home/apt,,Frankfurt,,Westend-Süd,14,4.0,3,1.0,,93.0,,2017-06-22 15:31:32.518313,50.119725,8.657593,0101000020E610000035289A07B0502140BEC11726530F4940
15595485,1360,13183028,Entire home/apt,,Frankfurt,,Sachsenhausen-S.,0,0.0,2,0.0,,97.0,,2017-06-22 15:31:32.500800,50.095795,8.685193,0101000020E610000071E5EC9DD15E2140670FB402430C4940
15316514,1360,40809943,Entire home/apt,,Frankfurt,,Heddernheim,6,4.5,4,2.0,,90.0,,2017-06-22 15:31:32.488595,50.160765,8.641799,0101000020E61000000536E7E099482140B4AB90F293144940
18018979,1360,123900389,Entire home/apt,,Frankfurt,,Westend-Süd,0,0.0,2,1.0,,92.0,,2017-06-22 15:31:32.484645,50.113793,8.667993,0101000020E6100000F2E9B12D03562140C2C1DEC4900E4940
5158984,1360,9378663,Entire home/apt,,Frankfurt,,Gutleutviertel,8,5.0,2,1.0,,92.0,,2017-06-22 15:31:29.665501,50.105156,8.665668,0101000020E6100000CAFCA36FD2542140357D76C0750D4940
17117951,1360,8113132,Entire home/apt,,Frankfurt,,Innenstadt,1,0.0,2,1.0,,92.0,,2017-06-22 15:31:29.660857,50.114507,8.682619,0101000020E6100000A741D13C805D2140E014562AA80E4940
10872840,1360,50812830,Entire home/apt,,Frankfurt,,Ginnheim,7,4.5,2,1.0,,89.0,,2017-06-22 15:31:29.655793,50.13769,8.650996,0101000020E610000054A703594F4D21403D7E6FD39F114940
15480385,1360,39374916,Entire home/apt,,Frankfurt,,Sachsenhausen-N.,13,5.0,4,1.0,,92.0,,2017-06-22 15:31:29.647209,50.101447,8.690905,0101000020E61000002849D74CBE6121407FA31D37FC0C4940
15483381,1360,401308,Entire home/apt,,Frankfurt,,Griesheim,5,5.0,5,2.0,,92.0,,2017-06-22 15:31:26.708239,50.098055,8.600922,0101000020E6100000D2E4620CAC332140CA1AF5108D0C4940
